@timestamp,@message
2021-11-22 04:43:41.628,"sentPayment {""requestId"": 52, ""orderId"": 90336, ""amount"": 110, ""item"": ""test item-52"", ""address"": ""Indiana"", ""buyerName"": ""buyerB"", ""paymentId"": 76736}
"
2021-11-22 04:43:41.578,"received_order: {""requestId"": 52, ""amount"": 110, ""item"": ""test item-52"", ""buyerName"": ""buyerB"", ""orderId"": 90336, ""address"": ""Indiana""}
"
2021-11-22 04:43:41.570,"[INFO]	2021-11-22T04:43:41.570Z	16b8c489-f763-40b5-9cef-1b820dabf388	Received message: {'requestId': 52, 'amount': 110, 'item': 'test item-52', 'buyerName': 'buyerB', 'orderId': 90336, 'address': 'Indiana'}
"
2021-11-22 04:43:41.543,"Received message: {'requestId': 52, 'amount': 110, 'item': 'test item-52', 'buyerName': 'buyerB', 'orderId': 90336, 'address': 'Indiana'}
"
2021-11-22 04:43:41.504,"[INFO]	2021-11-22T04:43:41.503Z	8513d902-8605-401a-8a32-b1422fa31b28	Sending message {'requestId': 52, 'amount': 110, 'item': 'test item-52', 'buyerName': 'buyerB', 'orderId': 90336, 'address': 'Indiana'} to https://bdn5aj1tqi.execute-api.us-east-2.amazonaws.com/merchant/messages
"
2021-11-22 04:43:41.503,"sentOrder {""requestId"": 52, ""amount"": 110, ""item"": ""test item-52"", ""buyerName"": ""buyerB"", ""orderId"": 90336, ""address"": ""Indiana""}
"
2021-11-22 04:43:41.474,"receivedQuote: {""requestId"": 52, ""item"": ""test item-52"", ""buyerName"": ""buyerB"", ""amount"": 110}
"
2021-11-22 04:43:41.467,"[INFO]	2021-11-22T04:43:41.467Z	8513d902-8605-401a-8a32-b1422fa31b28	Received message: {'requestId': 52, 'item': 'test item-52', 'buyerName': 'buyerB', 'amount': 110}
"
2021-11-22 04:43:41.430,"Received message: {'requestId': 52, 'item': 'test item-52', 'buyerName': 'buyerB', 'amount': 110}
"
2021-11-22 04:43:41.385,"quote_response_sent: {""requestId"": 52, ""item"": ""test item-52"", ""buyerName"": ""buyerB"", ""amount"": 110}
"
2021-11-22 04:43:41.385,"[INFO]	2021-11-22T04:43:41.385Z	bfeb57ff-a94f-4fc6-8f6e-42c43cb6e8a7	Sending message {'requestId': 52, 'item': 'test item-52', 'buyerName': 'buyerB', 'amount': 110} to https://bdn5aj1tqi.execute-api.us-east-2.amazonaws.com/buyer/messages
"
2021-11-22 04:43:41.356,"Quote request received: {""requestId"": 52, ""item"": ""test item-52"", ""buyerName"": ""buyerB""}
"
2021-11-22 04:43:41.356,"Sending quote response: {'requestId': 52, 'item': 'test item-52', 'buyerName': 'buyerB', 'amount': 110}
"
2021-11-22 04:43:41.350,"[INFO]	2021-11-22T04:43:41.350Z	bfeb57ff-a94f-4fc6-8f6e-42c43cb6e8a7	Received message: {'requestId': 52, 'item': 'test item-52', 'buyerName': 'buyerB'}
"
2021-11-22 04:43:41.315,"Received message: {'requestId': 52, 'item': 'test item-52', 'buyerName': 'buyerB'}
"
2021-11-22 04:43:41.271,"[INFO]	2021-11-22T04:43:41.270Z	de0b51ac-51dc-41c6-b212-763fbf7cfd1a	Sending message {'requestId': 52, 'item': 'test item-52', 'buyerName': 'buyerB'} to https://bdn5aj1tqi.execute-api.us-east-2.amazonaws.com/merchant/messages
"
2021-11-22 04:43:41.270,"Quote request sent {""requestId"": 52, ""item"": ""test item-52"", ""buyerName"": ""buyerB""}
"
2021-11-22 04:43:41.230,"{'eventID': 'd8ada9792c35a4e6f84b922f1a850b3a', 'eventName': 'INSERT', 'eventVersion': '1.1', 'eventSource': 'aws:dynamodb', 'awsRegion': 'us-east-2', 'dynamodb': {'ApproximateCreationDateTime': 1637556220.0, 'Keys': {'requestId': {'N': '52'}}, 'NewImage': {'item': {'S': 'test item-52'}, 'requestId': {'N': '52'}, 'buyerName': {'S': 'buyerB'}, '_time': {'S': '2021-11-22 04:43:40.827453'}}, 'SequenceNumber': '800000000010610215712', 'SizeBytes': 84, 'StreamViewType': 'NEW_IMAGE'}, 'eventSourceARN': 'arn:aws:dynamodb:us-east-2:538893305611:table/Quotes/stream/2021-11-22T03:26:42.088'}
"
2021-11-22 04:43:41.230,"Retrieved quote request info: {'item': 'test item-52', 'requestId': 52, 'buyerName': 'buyerB', '_time': '2021-11-22 04:43:40.827453'}
"
2021-11-22 04:43:41.230,"Sending quote request: {'requestId': 52, 'item': 'test item-52', 'buyerName': 'buyerB'}
"
2021-11-22 04:43:40.863,"Added entry to Quotes table: {'requestId': 52, 'item': 'test item-52', 'buyerName': 'buyerB', '_time': '2021-11-22 04:43:40.827453'}
"
